UNICODE12,Molweight [g/mol],Ringbonds,Alkylatoms,Alkylgroups,Rotatable bonds,Internal H-bonds,Conjugated bonds,Fragments,Alkane,mu_self,hint_self,hb_self,Area,?-moment2,?-moment3,?-moment4,?-moment5,?-moment6,HB-acc_m1,HB-acc_m2,HB-acc_m3,HB-acc_m4,HB-don_m1,HB-don_m2,HB-don_m3,HB-don_m4,Volume,MWeight,E_dielec,#rotbdsmod,Tmult,rbwring,nbr11,mu_self100,hint_self100,hb_self100,n_total,Amine,nbr2u1,nbr2s1,nbr3u1,nbr3s1, nbr2u2u,nbr2s2u,nbr2s2s,nbr3u2u,nbr3s2u,nbr3u2s,nbr3s2s,nbr3u3u,nbr3s3u,nbr3s3s,Kier1,Kier2,n_arom,N,Sumq(e),S_sym,S_crs,H_crs,Hfus_exp[kcal/mol]
IXDTC087ITNN,88.11,6,0,0,0,0,0,0,-1,-3.809,-4.636,-0.506,120.9,41.02,30.03,45.55,53.65,71.41,0.04,3.99,1.55,0.29,0,0,0,0,109.19,88.11,-5.23,0,1.24,6,0,-5.137,-6.336,-0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,2.222222222,0,0,0,0.002464524,0.005978659,1.03678,3.06
MT7J0VJCWGNN,88.11,0,3,2,2,0,1,0,-1,-4.172,-5.439,-0.611,134.77,43.94,27.24,43.59,45.75,60.35,0.03,3.39,1.09,0.16,0,0,0,0,117.75,88.11,-6.32,1.75,0,0,0,-6.008,-7.61,-1.182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.2,0,0,0,0,0.007865406,1.37498,2.51
AEIFMDO5JTNN,120.17,5,0,0,0,0,2,0,-1,-3.05,-5.835,-1.879,137.98,73.4,43.64,79.72,80.15,111.64,0.06,6.67,2.15,0.17,0,0,0,0,128.69,120.17,-13.49,0,0.64,4,0,-6.183,-8.591,-2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.142857143,1.5,0,0,0,0.001272013,0.010913374,1.9619,0.33
YJIBJZ4UKTNN,136.17,6,0,0,0,0,2,1,-1,-3.531,-6.434,-1.967,120.81,74.34,26.35,75.29,47.89,92.84,0.05,4.73,1.23,0.05,0,0.58,0.09,0,136.5,136.17,-11.45,0,0.59,5,0,-6.752,-9.169,-2.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.125,2.082644628,0,0,-0.01,0.001172637,0.01144464,2.09088,4.83
IZVRG71DKXNN,120.1,8,0,0,0,0,0,0,-1,-3.637,-6.135,-1.685,137.38,68.77,43.89,79.09,89.48,129.18,0.06,6.56,2.73,0.69,0,0,0,0,129.39,120.1,-9.52,0,1.39,8,0,-6.457,-8.546,-2.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.125,3.9375,0,0,0,0.002762652,0.008956284,1.65698,5.41
TG640O37K1NN,88.17,5,0,0,0,0,0,0,-1,-5.485,-6.133,-0.036,124.04,22.28,10.88,13.74,12.12,13.03,0,0.64,0.09,0,0,0,0,0,114.21,88.17,-3.37,0,0.61,5,0,-6.459,-7.265,-0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,1.44,0,0,0,0.001212387,0.002358069,0.39502,1.75
LYKX44W1M0NN,120.24,6,0,0,0,0,0,0,-1,-5.705,-7.45,-0.15,141.04,39.83,10.67,24.41,12.68,20.13,0,0.73,0.06,0,0,0.05,0,0,138.24,120.24,-5.71,0,0.55,6,0,-7.796,-9.444,-0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,2.222222222,0,0,0,0.001093136,0.006311838,1.08946,3.44
DT0UCFH9M0NN,120.24,6,0,0,0,0,0,0,-1,-5.869,-7.582,-0.135,141.25,38.82,11.44,22.37,13.77,18.02,0,0.73,0.07,0,0,0,0,0,138.55,120.24,-5.18,0,1.24,6,0,-7.922,-9.535,-0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,2.222222222,0,0,0,0.002464524,0.005818752,1.00188,5.17
BN7HL0M00MNN,137.02,0,4,1,2,0,0,0,-1,-6.387,-7.257,0,142.36,19.69,3.11,6.1,1.69,2.4,0,0,0,0,0,0,0,0,129.42,137.02,-3.04,2,0,0,1,-7.529,-8.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0.002883666,0.46966,2.2
WYX5IESLJUNU,137.02,0,4,1,1,0,0,0,-1,-6.337,-7.086,0,138.4,18.64,3.47,5.46,2.02,2.07,0,0,0,0,0,0,0,0,128.37,137.02,-2.96,0.75,0,0,0,-7.361,-8.177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.25,0,0,0,0,0.002591575,0.41898,1.65
RZVB2CYOM9NN,137.02,0,4,1,0,0,0,0,-1,-6.158,-6.816,0,136.13,19.33,4.4,6.04,2.71,2.46,0,0,0,0,0,0,0,0,129.95,137.02,-3.11,0,0.88,0,0,-7.077,-7.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.001749017,0.002490691,0.40733,0.48
NJ8NKF0UIUNN,92.57,0,4,1,0,0,0,0,-1,-5.909,-6.372,0,130.74,16.56,3.43,4.67,1.97,1.73,0,0,0,0,0,0,0,0,122.63,92.57,-2.62,0,0.88,0,0,-6.718,-7.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.001749017,0.002067602,0.33521,0.45
SZBE6A38XHNN,87.12,0,3,1,3,0,2,0,-1,-4.906,-11.72,-6.461,134.79,70.17,22.79,116.95,65.55,234.79,0.07,7.37,4.04,1.54,-0.03,3.4,1.38,0.3,120.35,87.12,-11.8,2.5,0,0,0,-11.346,-15.463,-8.297,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.2,0,1,0,0,0.013121854,2.74213,4.59
QQTBFI3MWHNN,87.12,0,3,1,2,0,2,0,-1,-4.903,-11.543,-6.31,132.19,68.58,20.81,113.97,59.13,226.22,0.07,7.07,3.85,1.45,-0.03,3.47,1.43,0.31,119.91,87.12,-11.53,1.25,0.35,0,0,-11.175,-15.152,-8.084,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2.222222222,0,1,0,0.000696,0.012603633,2.655,4.59
ZKY37VD31JNN,87.12,0,3,3,1,0,2,0,-1,-3.402,-5.013,-1.099,134.1,50.31,47.03,79.16,109.34,164.52,0.07,7.38,3.99,1.43,0,0,0,0,120.86,87.12,-9.26,0.5,0.35,0,0,-5.632,-7.484,-1.987,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2.222222222,0,1,0,0.000696,0.009364365,1.68753,2.44
BHBAS0B2VHNN,103.12,0,4,1,0,0,2,2,-1,-4.758,-5.626,-0.026,139.82,34.98,4.25,16.51,5.55,9.82,0,0.12,0,0,0,0,0,0,132.41,103.12,-6.87,0,0.83,0,0,-6.102,-7.292,-0.046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.851851852,0,1,-0.1,0.001649641,0.005029999,0.85646,0.62
