mu_self,h_hb,h_int,e_dielec,area,sigma_m2,sigma_m3,sigma_m4,sigma_m5,sigma_m6,volume,avratio,hbacc_m1,hbacc_m2,hbacc_m3,hbacc_m4,hbdon_m1,hbdon_m2,hbdon_m3,hbdon_m4,molweight,ringbonds,alkylatoms,alkylgroups,rotatable_bonds,internal_hbonds,conjugated_bonds,rotbsdmod,tmult,nbr11,rbwring,fragments,zwitterion_in_water,n_exp
-4.18637,-6.23517,-9.04203,-5.3247,68.3393,40.6518,8.8657,70.0475,17.37,142.2135,48.679,1.40387641,0.0382,3.8761,1.9894,0.6814,-0.0261,2.6277,1.3801,0.5192,32.04,0,1,1,0,0,0,0,0,0,0,0,0,1.3288
-9.25231,-0.01702,-11.34014,-3.1974,249.7816,24.5476,19.0266,26.276,33.7961,45.5424,238.8644,1.04570459,0.024,2.4485,1.0338,0.2483,0,0,0,0,158.28,0,10,2,8,0,0,8,0,7,0,3,0,1.4127
-7.25634,-0.02162,-8.39246,-3.0629,190.1056,23.1326,18.9215,26.1943,33.7826,45.5367,176.2237,1.07877431,0.024,2.4485,1.0338,0.2483,0,0,0,0,116.2,0,7,2,5,0,0,5,0,4,0,2,0,1.3927
-6.79584,-0.02171,-7.548,-2.5546,166.9588,19.6144,15.1805,21.6957,28.6588,39.928,155.434,1.07414594,0.0194,1.9759,0.9107,0.2687,0,0,0,0,102.18,0,6,2,3,0,0,2.75,0.31,1,0,0,0,1.3739
-6.77702,-0.17456,-8.43224,-5.4408,204.2683,38.0138,26.1928,36.4448,41.346,51.724,202.1417,1.01052034,0.0289,3.0319,0.9409,0.1246,0,0,0,0,144.21,0,7,2,4,0,1,3,0.39,0,0,0,0,1.3999
-7.18372,0,-7.6141,-0.5743,152.7188,5.5967,0.2799,0.3896,0.0362,0.0328,141.6758,1.07794556,0,0,0,0,0,0,0,0,86.18,0,6,0,2,0,0,1.75,0.35,0,0,0,0,1.3715
-5.14803,-0.68549,-7.43526,-6.9022,154.191,50.4896,12.2538,40.8667,19.0292,44.2633,139.7765,1.10312535,0.017,1.9422,0.4107,0.0196,-0.0016,0.4064,0.0125,0,122.55,0,2,1,3,0,1,2.5,0,0,0,2,0,1.4215
-6.20155,-0.19431,-7.71029,-5.6568,190.5023,39.711,27.3224,37.4629,41.6549,51.1844,179.9184,1.05882611,0.0286,3.0163,0.8763,0.0933,0,0,0,0,130.19,0,6,2,4,0,1,3.25,0.26,0,0,0,0,1.3955
-7.20057,-0.0289,-8.36514,-3.2085,191.4623,23.3191,5.438,7.5089,4.0678,3.778,191.2929,1.00088555,0,0.0424,0,0,0,0,0,0,134.22,6,4,4,0,0,6,0,0.51,0,0,0,0,1.513
-6.18632,-0.01333,-6.90021,-2.9447,160.1193,21.5475,3.2338,6.0166,2.1114,2.2676,152.5804,1.04940936,0,0.0001,0,0,0,0,0,0,106.17,6,2,2,0,0,6,0,1.15,0,0,0,0,1.4958
-5.17824,-0.30988,-6.38305,-5.8937,159.1126,34.6644,22.999,34.9892,39.804,52.3877,147.3795,1.07961148,0.0285,2.9387,1.0533,0.1922,0,0,0,0,100.16,0,5,2,3,0,1,2.5,0,0,0,0,0,1.4004
-7.54487,-0.00122,-9.82304,-6.5601,235.0601,41.2865,1.2176,11.8902,0.6866,4.0524,250.0078,0.94021107,0,0,0,0,0,0,0,0,195.26,15,2,1,1,0,15,0.75,0.61,0,0,0,0,1.6394
-7.27731,0,-8.79093,-4.1865,202.2246,28.584,0.3082,6.7432,0.1167,1.8871,207.7163,0.97356154,0,0,0,0,0,0,0,0,156.22,11,2,1,1,0,11,0.75,0,0,0,0,0,1.6062
-7.25094,0,-8.59658,-2.9367,160.0739,22.1597,-7.029,7.3948,-4.2831,3.4213,152.412,1.05027098,0,0,0,0,0,0.0007,0,0,147,6,0,0,0,0,6,0,1.15,0,0,0,0,1.5285
-7.42503,-6.02861,-14.35652,-8.1107,199.9796,57.9853,26.7213,89.7095,50.3285,175.342,186.7587,1.07079135,0.0595,6.0315,2.9083,0.8822,-0.0235,2.3675,1.2131,0.4554,132.2,0,5,2,6,1,0,5.5,0,2,0,2,0,1.4168
-5.41396,-0.11049,-6.17902,-3.2984,120.1348,23.8326,6.6543,14.6689,8.1768,13.0667,107.7411,1.11503224,0.004,0.5359,0.0685,0,0,0.0377,0,0,76.16,0,3,1,1,0,0,0.75,0.46,0,0,0,0,1.4255
-5.57669,0,-6.2863,-3.2299,116.0916,21.1529,-4.5854,8.0165,-4.1951,4.5144,101.787,1.14053465,0,0,0,0,0,0.0821,0,0,98.96,0,1,1,0,0,0,0,0.46,0,0,0,0,1.4164
-6.08441,0,-6.72346,-2.658,137.2684,17.0404,2.3784,4.7541,1.1765,1.6867,122.2219,1.12310805,0,0,0,0,0,0,0,0,92.57,0,4,1,2,0,0,2,0,1,0,0,0,1.4022
